nombre_empresa;pais;opera_otrospaises;sector_empresa;numero_empleados;infraestructura_critica;activos_criticos;pilares_prioritarios;actor_amenaza;incidente_sufrido;pilar_critico;sistemas_operativos;despliegue_sistemas;centros_datos;segmentacion_red;vpn;firewall;monitorizacion_red;balanceadores;antiphishing;edr;actualizaciones;frecuencia_actualizaciones;autenticacion;politica_contraseï¿½as;iam;revocacion;backups;evento_amenaza
alexEnterprise2;Francia;Reino Unido;Gestión de residuos;Menos de 50;Sí;Aplicaciones informáticas (Software);Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, intencionado);Ninguno;Confidencialidad;Windows 11;Local (On-premise);1;Parcial;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;No;Azure AD / Okta / LDAP;Sí;Semanales;
alexEnterprise2;Francia;Reino Unido;Salud;Menos de 50;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 11,Windows 10;Local (On-premise);1;Parcial;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;No;Azure AD / Okta / LDAP;Sí;Semanales;
ismaelEnterprise2;Austria;No;Salud;Menos de 50;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 11;Local (On-premise);1;Parcial;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;No;Azure AD / Okta / LDAP;No;Semanales;
ismaelEnterprise3;Austria;No;Salud;Menos de 50;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 11;Local (On-premise);1;Parcial;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;No;Azure AD / Okta / LDAP;No;Semanales;
ismaelEnterprise4;Austria;No;Salud;Menos de 50;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 11;Local (On-premise);1;Parcial;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;No;Azure AD / Okta / LDAP;No;Semanales;
ismaelEnterprise4;Austria;Estados Unidos;Salud;Menos de 50;Sí;Datos / Información sensible;Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 11;Local (On-premise);1;Parcial;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;No;Azure AD / Okta / LDAP;No;Semanales;
iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad,Ataques contra la confidencialidad;Confidencialidad;Windows 11,Windows 10;Nube privada;Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad,Ataques contra la confidencialidad;Confidencialidad;Windows 11,Windows 10;Nube privada;Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad,Ataques contra la confidencialidad;Confidencialidad;Windows 11,Windows 10;Nube privada;Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad,Ataques contra la confidencialidad;Confidencialidad;Windows 11,Windows 10;Nube privada;Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
