nombre_empresa;pais;opera_otrospaises;sector_empresa;numero_empleados;infraestructura_critica;activos_criticos;pilares_prioritarios;actor_amenaza;incidente_sufrido;pilar_critico;sistemas_operativos;despliegue_sistemas;centros_datos;segmentacion_red;vpn;firewall;monitorizacion_red;balanceadores;antiphishing;edr;actualizaciones;frecuencia_actualizaciones;autenticacion;politica_contrase�as;iam;revocacion;backups;evento_amenaza
iberdrola;Espa�a;Reino Unido,Estados Unidos,Uni�n Europea;Energ�a;M�s de 1000;S�;Datos / Informaci�n sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad,Ataques contra la confidencialidad;Confidencialidad;Windows 11,Windows 10;Nube privada;M�s de 2;S�, completa;Opcional;S�;S�, de forma continua;S�;S�;S�, EDR;S�;Con frecuencia;Todos los accesos;S�, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
AdministraciónSoluciones_REP21;República Checa;Sí;Administración pública;Menos de 50;Sí;Datos / Información sensible, Aplicaciones informáticas (Software), Servicios en la nube;Confidencialidad, Integridad, Disponibilidad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 11;Híbrido;Más de 2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;
AdministraciónSoluciones_GRE00;Grecia;Sí;Administración pública;Menos de 50;Sí;Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Híbrido;Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
PartnerSoluciones_MAL29;Malta;No;Industria / Manufactura;50 - 1000;No;Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;2;Parcial;Sí, obligatoria;No;Sí, de forma continua;Sí;Sí;Solo antivirus básico;No;Semanales;Todos los accesos;Sí, obligatoria;Ninguna;No;No aplican;
SeriesSoluciones_LIT06;Lituania;Sí;Transporte;50 - 1000;Sí;Infraestructura TIC (Hardware);Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Nube privada;Más de 2;No;Sí, obligatoria;Sí;Sí, de forma continua;No;Sí;Sí, EDR;No;No se revisa si existen nuevas actualizaciones;Todos los accesos;Sí, obligatoria;Ninguna;Sí;No aplican;
AdministraciónSoluciones_GRE00;Grecia;Sí;Administración pública;Menos de 50;Sí;Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Híbrido;Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
SpaceSoluciones_BEL96;Bélgica;Sí;TIC;50 - 1000;Sí;Infraestructura TIC (Hardware),Sistemas de Control Industrial (ICS/SCADA),Redes de comunicaciones;Integridad,Disponibilidad,Confidencialidad;Factor meteorológico adverso (externo, intencionado);Ataques contra la integridad;Integridad;Windows 10;Local (On-premise);Más de 2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Semanales;
EducacionSoluciones_CHI91;Chipre;No;Educacion;Mas de 1000;No;Datos / Informacion sensible,Aplicaciones informaticas (Software);Confidencialidad,Integridad,Disponibilidad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 8;Hibrido;2;Parcial;Opcional;Si;Si, parcialmente;Si;Si;No;No;Mensualmente;Todos los accesos;Si, obligatoria;Ninguna;No;Semanales;
FieldSoluciones_IRL95;Irlanda;No;Transporte;50 - 1000;Si;Infraestructura TIC (Hardware);Disponibilidad,Integridad,Confidencialidad;Factor meteorologico adverso (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Fedora 42;Hibrido;Mas de 2;Parcial;Si, obligatoria;Si;Si, parcialmente;No;No;Si, EDR;No;Diarias;Solo sistemas criticos;Si, obligatoria;Ninguna;Si;Semanales;
BancaSoluciones_ESL04;Eslovaquia;Si;Banca / Finanzas;50 - 1000;Si;Datos / Informacion sensible,Servicios en la nube,Aplicaciones informaticas (Software);Confidencialidad,Integridad,Disponibilidad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Integridad;Ubuntu 25;Local (On-premise);2;Parcial;Si, obligatoria;Si;Si, de forma continua;Si;Si;Si, EDR;Si;Con frecuencia;Todos los accesos;Si, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
