nombre_empresa;pais;opera_otrospaises;sector_empresa;numero_empleados;infraestructura_critica;activos_criticos;pilares_prioritarios;actor_amenaza;incidente_sufrido;pilar_critico;sistemas_operativos;despliegue_sistemas;centros_datos;segmentacion_red;vpn;firewall;monitorizacion_red;balanceadores;antiphishing;edr;actualizaciones;frecuencia_actualizaciones;autenticacion;politica_contraseñas;iam;revocacion;backups;evento_amenaza
AdministraciónSoluciones_GRE00;Grecia;Sí;Administración pública;Menos de 50;Sí;Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Híbrido;Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;Brecha de datos
AguaSoluciones_POR01;Portugal;Sí;Agua potable;50 - 1000;Sí;Aplicaciones informáticas (Software), Sistemas de Control Industrial (ICS/SCADA), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube privada;2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
AlimentaciónSoluciones_ITA02;Italia;Sí;Alimentación;Menos de 50;Sí;Datos personales, Datos / Información sensible;Integridad, Disponibilidad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la integridad;Integridad;macOS 15;Local (On-premise);2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
AguasSoluciones_BÉL03;Bélgica;Sí;Aguas residuales;Menos de 50;Sí;Infraestructura TIC (Hardware), Servicios en la nube, Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Local (On-premise);2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
BancaSoluciones_ESL04;Eslovaquia;Sí;Banca / Finanzas;50 - 1000;Sí;Datos / Información sensible, Servicios en la nube, Aplicaciones informáticas (Software);Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Ubuntu 25;Local (On-premise);2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;Fraude
ComercioSoluciones_PAÍ05;Países Bajos;No;Comercio minorista;50 - 1000;No;Aplicaciones informáticas (Software), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Ubuntu 22;Nube pública (AWS, Azure, GCP);1;No;Sí, obligatoria;No;Sí, de forma continua;No;Sí;Sí, EDR;No;No se revisa si existen nuevas actualizaciones;No;Sí, obligatoria;Solución propia;Sí;Semanales;Ransomware
SeriesSoluciones_LIT06;Lituania;Sí;Transporte;50 - 1000;Sí;Infraestructura TIC (Hardware);Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Nube privada;Más de 2;No;Sí, obligatoria;Sí;Sí, de forma continua;No;Sí;Sí, EDR;No;No se revisa si existen nuevas actualizaciones;Todos los accesos;Sí, obligatoria;Ninguna;Sí;No aplican;Destrucción física
PoliticalSoluciones_BUL07;Bulgaria;Sí;Transporte;50 - 1000;Sí;Sistemas de Control Industrial (ICS/SCADA);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;macOS 15;Híbrido;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Ninguna;No;Diarias;Destrucción física
EnergíaSoluciones_ITA08;Italia;Sí;Energía;50 - 1000;Sí;Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
GestiónSoluciones_IRL09;Irlanda;No;Gestión de residuos;Menos de 50;No;Infraestructura TIC (Hardware), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Híbrido;1;Sí, completa;Opcional;No;No;No;No;Solo antivirus básico;No;Mensualmente;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;Semanales;DDoS
GestiónSoluciones_BUL10;Bulgaria;No;Gestión de servicios;50 - 1000;No;Datos personales, Sistemas de Control Industrial (ICS/SCADA), Datos / Información sensible;Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Fedora 38;Híbrido;1;Sí, completa;Sí, obligatoria;No;Sí, de forma continua;No;Sí;Solo antivirus básico;No;No se revisa si existen nuevas actualizaciones;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Brecha de datos
TicSoluciones_EST11;Estonia;Sí;TIC;50 - 1000;Sí;Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;DDoS
AloneSoluciones_FLD12;Finlandia;Sí;Industria / Manufactura;50 - 1000;No;Infraestructura TIC (Hardware);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Debian 12;Local (On-premise);Más de 2;Sí, completa;Sí, obligatoria;No;Sí, de forma continua;Sí;No;Solo antivirus básico;No;Más de un mes;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Destrucción física
